epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1657,0.87538,3.09099,1.31621,0.63384,0.14813,0.29833,0.22142,0.88432,3.16075,1.23786,0.00029819,0.00029819,0.00029819
2,132.814,0.90639,2.31163,1.31994,0.34609,0.62824,0.39394,0.24676,1.056,3.16984,1.43298,0.000586311,0.000586311,0.000586311
3,198.887,0.90854,2.06251,1.29627,0.43755,0.45242,0.48141,0.3565,0.90615,2.3567,1.32792,0.000859433,0.000859433,0.000859433
4,262.986,0.91176,1.84517,1.29117,0.43839,0.52857,0.50956,0.35408,1.0069,2.24289,1.32028,0.000841507,0.000841507,0.000841507
5,322.111,0.88968,1.74624,1.27595,0.63188,0.71516,0.72963,0.55407,0.9163,1.55057,1.25641,0.000819009,0.000819009,0.000819009
6,374.932,0.88095,1.64199,1.26131,0.59848,0.74551,0.73791,0.56428,0.83035,1.57085,1.24005,0.000796511,0.000796511,0.000796511
7,434.121,0.85894,1.5369,1.24837,0.57466,0.7481,0.68539,0.50441,0.86607,1.65376,1.26371,0.000774013,0.000774013,0.000774013
8,499.424,0.85441,1.4676,1.23735,0.76253,0.74142,0.83108,0.62265,0.9116,1.33314,1.24179,0.000751516,0.000751516,0.000751516
9,565.065,0.82111,1.42653,1.22338,0.72976,0.77658,0.80504,0.54666,1.08635,1.34355,1.36749,0.000729018,0.000729018,0.000729018
10,618.388,0.80729,1.39067,1.21678,0.68223,0.74553,0.77428,0.64148,0.68846,1.29674,1.10008,0.00070652,0.00070652,0.00070652
11,674.595,0.78255,1.30369,1.19135,0.71932,0.77695,0.82463,0.64985,0.80004,1.1308,1.19243,0.000684022,0.000684022,0.000684022
12,733.064,0.77833,1.28927,1.19916,0.81126,0.78691,0.84076,0.68212,0.76283,1.03102,1.16127,0.000661525,0.000661525,0.000661525
13,784.124,0.75049,1.24395,1.17784,0.7282,0.66589,0.73586,0.57978,0.84407,1.49316,1.23272,0.000639027,0.000639027,0.000639027
14,857.334,0.73094,1.1735,1.17009,0.76214,0.81259,0.85571,0.6911,0.76502,0.98993,1.1549,0.000616529,0.000616529,0.000616529
15,922.991,0.72634,1.18916,1.1603,0.79372,0.80053,0.82447,0.66017,0.80959,0.97909,1.19693,0.000594031,0.000594031,0.000594031
16,989.169,0.72354,1.12984,1.1546,0.73142,0.78769,0.81966,0.63299,0.86371,1.0538,1.22899,0.000571534,0.000571534,0.000571534
17,1051.58,0.69824,1.0881,1.13262,0.81141,0.83038,0.8684,0.71865,0.64073,0.90666,1.08255,0.000549036,0.000549036,0.000549036
18,1116.75,0.69664,1.09013,1.13459,0.74738,0.80382,0.81378,0.68186,0.63205,0.93138,1.07451,0.000526538,0.000526538,0.000526538
19,1178.29,0.6883,1.04887,1.14989,0.8193,0.81715,0.84392,0.7019,0.6386,0.88515,1.07324,0.00050404,0.00050404,0.00050404
20,1237.52,0.68102,1.03646,1.12626,0.76175,0.84657,0.84668,0.73079,0.55065,0.83869,1.05355,0.000481543,0.000481543,0.000481543
21,1297.25,0.66007,0.99239,1.12377,0.74631,0.83595,0.81894,0.67929,0.66602,0.92791,1.10559,0.000459045,0.000459045,0.000459045
22,1364.17,0.65192,0.95227,1.11742,0.74497,0.82968,0.84011,0.70825,0.62295,0.85058,1.06723,0.000436547,0.000436547,0.000436547
23,1421.89,0.66461,1.00582,1.1233,0.84452,0.76195,0.8024,0.69838,0.54146,0.81337,1.04235,0.000414049,0.000414049,0.000414049
24,1474.25,0.65094,0.96028,1.11065,0.7867,0.85049,0.86411,0.74487,0.59389,0.79886,1.04207,0.000391552,0.000391552,0.000391552
25,1531.34,0.63788,0.93939,1.09892,0.82561,0.8542,0.87144,0.736,0.66748,0.78619,1.06755,0.000369054,0.000369054,0.000369054
26,1594.47,0.62327,0.88837,1.09763,0.77707,0.79457,0.8314,0.72411,0.56379,0.83695,1.02153,0.000346556,0.000346556,0.000346556
27,1652.7,0.63008,0.89764,1.11498,0.8249,0.79802,0.84023,0.72142,0.54148,0.79703,1.03373,0.000324058,0.000324058,0.000324058
28,1704.99,0.61979,0.87712,1.09822,0.82201,0.79214,0.84936,0.73032,0.57665,0.82687,1.04135,0.000301561,0.000301561,0.000301561
29,1757.54,0.6375,0.86724,1.10704,0.81954,0.8129,0.85683,0.7452,0.51093,0.81248,1.02231,0.000279063,0.000279063,0.000279063
30,1815.32,0.60378,0.84796,1.08556,0.88402,0.80169,0.87857,0.78861,0.49794,0.69242,1.0156,0.000256565,0.000256565,0.000256565
31,1932.89,0.46735,0.7567,1.0612,0.82616,0.81594,0.85997,0.76572,0.49237,0.8034,1.00146,0.000234068,0.000234068,0.000234068
32,2001.62,0.43556,0.6353,1.04097,0.75389,0.87376,0.8614,0.75458,0.54836,0.7651,1.02059,0.00021157,0.00021157,0.00021157
33,2067.58,0.41869,0.58785,1.01206,0.86505,0.80753,0.88114,0.77531,0.5057,0.71376,1.0069,0.000189072,0.000189072,0.000189072
34,2138.23,0.41244,0.57668,1.02312,0.78759,0.87101,0.86834,0.7767,0.49696,0.73642,0.99052,0.000166574,0.000166574,0.000166574
35,2187.39,0.39406,0.54997,1.00592,0.77517,0.88416,0.85752,0.77536,0.46943,0.72892,0.97087,0.000144077,0.000144077,0.000144077
36,2204.7,0.39268,0.54052,1.00711,0.77342,0.86991,0.86469,0.76451,0.50802,0.75191,1.00266,0.000121579,0.000121579,0.000121579
37,2285.97,0.39172,0.49375,0.99989,0.85822,0.84636,0.87153,0.78059,0.45946,0.67739,0.98204,9.9081e-05,9.9081e-05,9.9081e-05
38,2419.93,0.38299,0.4813,0.99943,0.8473,0.83411,0.86555,0.77747,0.45333,0.68106,0.98162,7.65832e-05,7.65832e-05,7.65832e-05
39,2557.56,0.37838,0.45906,0.98885,0.84805,0.85622,0.86136,0.76877,0.46213,0.68666,0.97767,5.40855e-05,5.40855e-05,5.40855e-05
40,2693.59,0.36377,0.46763,0.98695,0.85193,0.85453,0.86257,0.77256,0.44461,0.686,0.96968,3.15878e-05,3.15878e-05,3.15878e-05
