epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8871,1.23663,3.25271,1.655,0.74631,0.25967,0.37575,0.25346,1.04286,3.0354,1.6208,0.000330065,0.000330065,0.000330065
2,98.3798,1.20606,1.99762,1.57673,0.4089,0.47497,0.37879,0.21204,1.53982,2.39111,2.05281,0.00064698,0.00064698,0.00064698
3,145.691,1.1996,1.93389,1.58636,0.43846,0.65952,0.53889,0.27529,1.30454,2.31372,1.89974,0.000947394,0.000947394,0.000947394
4,191.303,1.22663,1.85504,1.58778,0.54866,0.66921,0.60677,0.28017,1.69421,2.17999,2.2653,0.00092575,0.00092575,0.00092575
5,237.503,1.21682,1.77419,1.58808,0.67303,0.58912,0.65263,0.31644,1.72905,1.90071,2.22178,0.000901,0.000901,0.000901
6,284.554,1.16916,1.70799,1.55999,0.65407,0.77852,0.72032,0.46592,1.28382,1.38694,1.73099,0.00087625,0.00087625,0.00087625
7,331.553,1.13416,1.69695,1.51716,0.73953,0.72191,0.78624,0.51637,1.35131,1.42227,1.82533,0.0008515,0.0008515,0.0008515
8,377.598,1.12601,1.5434,1.51886,0.69548,0.71828,0.76482,0.43576,1.42297,1.36253,1.89208,0.00082675,0.00082675,0.00082675
9,423.703,1.1175,1.60774,1.52881,0.73853,0.71235,0.76317,0.45834,1.44249,1.29543,1.87283,0.000802,0.000802,0.000802
10,470.024,1.0815,1.51977,1.49063,0.70051,0.75014,0.77219,0.5028,1.10758,1.14342,1.59633,0.00077725,0.00077725,0.00077725
11,516.207,1.09996,1.52036,1.48737,0.77086,0.67658,0.76768,0.52674,1.18919,1.17015,1.6425,0.0007525,0.0007525,0.0007525
12,562.242,1.05731,1.47168,1.47715,0.91025,0.65317,0.7914,0.58226,0.91284,1.02808,1.47748,0.00072775,0.00072775,0.00072775
13,607.869,1.03555,1.38387,1.45282,0.80697,0.81838,0.85081,0.58729,0.96572,0.92458,1.51646,0.000703,0.000703,0.000703
