epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.64111,2.5574,8.33854,2.54879,0.20816,0.85714,0.37965,0.20239,1.65419,8.94488,1.83343,5e-05,5e-05,5e-05
2,14.9954,1.998,4.60522,2.23444,0.40388,0.68254,0.44972,0.27516,1.44224,54.9858,1.56676,0.000107278,0.000107278,0.000107278
3,18.7781,1.80426,3.39762,1.85802,0.54785,0.63269,0.63056,0.37187,1.50419,7.22749,1.61459,0.000161585,0.000161585,0.000161585
4,22.279,1.65484,2.85268,1.70888,0.44832,0.88889,0.62178,0.36299,1.52118,4.6749,1.52732,0.000212923,0.000212923,0.000212923
5,25.8104,1.59358,2.60773,1.73069,0.62114,0.88889,0.87044,0.4378,1.67955,4.19924,1.60325,0.00026129,0.00026129,0.00026129
6,29.3704,1.49921,2.29677,1.60723,0.78563,0.93694,0.92736,0.30921,2.26079,5.15927,2.10728,0.000306687,0.000306687,0.000306687
7,32.8374,1.46858,2.1929,1.61962,0.76842,0.81029,0.90583,0.49598,1.59353,2.84656,1.65577,0.000349115,0.000349115,0.000349115
8,36.3165,1.34458,1.99536,1.4809,0.7959,0.93524,0.93944,0.58521,1.41091,2.32814,1.49975,0.000388573,0.000388573,0.000388573
9,39.816,1.46762,1.72669,1.54598,0.77234,0.84696,0.995,0.62992,1.34088,3.10579,1.43273,0.00042506,0.00042506,0.00042506
10,43.3012,1.42805,1.97065,1.53217,0.87426,1,0.995,0.47239,1.80109,3.98083,1.99618,0.000458578,0.000458578,0.000458578
11,46.6833,1.45377,1.6051,1.46488,0.84547,0.9841,0.995,0.44363,1.95521,2.13417,2.22069,0.000489125,0.000489125,0.000489125
12,50.0052,1.37462,1.82251,1.55099,0.90988,0.94935,0.995,0.53871,1.78144,1.56771,1.9781,0.000516703,0.000516703,0.000516703
13,53.3447,1.35025,1.6791,1.58661,0.75969,0.96564,0.93944,0.53027,1.6219,2.07437,1.68978,0.00054131,0.00054131,0.00054131
14,56.7115,1.41383,1.62779,1.48195,0.98137,0.90099,0.995,0.53669,1.54821,1.48924,1.59235,0.000562948,0.000562948,0.000562948
15,59.994,1.39688,1.41459,1.49038,0.98137,0.90099,0.995,0.53669,1.54821,1.48924,1.59235,0.000581615,0.000581615,0.000581615
16,63.3487,1.55891,1.42738,1.5785,0.90825,0.74569,0.84917,0.42478,1.64234,1.63567,1.70406,0.000597313,0.000597313,0.000597313
17,66.7353,1.47478,1.29196,1.54467,0.96321,0.99086,0.995,0.50613,1.63192,1.47139,1.68002,0.000604,0.000604,0.000604
18,70.1926,1.37783,1.40071,1.51793,0.89811,0.97467,0.98917,0.61405,1.46749,1.4425,1.49962,0.00057925,0.00057925,0.00057925
19,73.6766,1.592,1.54561,1.65698,0.89811,0.97467,0.98917,0.61405,1.46749,1.4425,1.49962,0.0005545,0.0005545,0.0005545
20,77.0439,1.3627,1.28589,1.47368,0.90822,1,0.995,0.51636,1.59085,1.52192,1.65394,0.00052975,0.00052975,0.00052975
21,80.3785,1.37601,1.39062,1.56645,0.96384,1,0.995,0.44359,1.7248,1.68574,1.83419,0.000505,0.000505,0.000505
22,83.802,1.30365,1.27873,1.43639,0.96735,1,0.995,0.4952,1.69066,1.2841,1.71878,0.00048025,0.00048025,0.00048025
23,87.1327,1.43214,1.34987,1.56339,0.96735,1,0.995,0.4952,1.69066,1.2841,1.71878,0.0004555,0.0004555,0.0004555
24,90.5697,1.32943,1.39195,1.50381,0.90424,0.83333,0.93944,0.53731,1.58863,1.0895,1.58341,0.00043075,0.00043075,0.00043075
25,93.9607,1.4069,1.26448,1.52861,0.90164,0.99226,0.995,0.6308,1.48055,1.05424,1.47834,0.000406,0.000406,0.000406
26,97.5096,1.28679,1.21464,1.51301,0.98237,1,0.995,0.58334,1.53964,1.12671,1.55372,0.00038125,0.00038125,0.00038125
27,100.887,1.32187,1.09816,1.47236,0.98237,1,0.995,0.58334,1.53964,1.12671,1.55372,0.0003565,0.0003565,0.0003565
28,104.252,1.30541,1.09126,1.40462,0.96649,1,0.995,0.50522,1.78321,1.2651,1.82246,0.00033175,0.00033175,0.00033175
29,107.677,1.28203,1.10933,1.47194,0.95031,1,0.995,0.52863,1.7101,1.15525,1.75722,0.000307,0.000307,0.000307
30,111.114,1.40308,1.19504,1.53313,0.95733,1,0.995,0.55188,1.69502,1.1013,1.6931,0.00028225,0.00028225,0.00028225
31,162.25,1.13007,1.30629,1.43863,0.95733,1,0.995,0.55188,1.69502,1.1013,1.6931,0.0002575,0.0002575,0.0002575
32,165.742,1.16304,1.15178,1.47711,0.96344,1,0.995,0.56742,1.66653,1.03055,1.64107,0.00023275,0.00023275,0.00023275
33,169.135,1.15496,1.01554,1.47974,0.96082,1,0.995,0.57167,1.68667,0.89957,1.6286,0.000208,0.000208,0.000208
34,172.454,1.14486,1.07332,1.42313,0.96282,1,0.995,0.54859,1.66114,0.86409,1.59276,0.00018325,0.00018325,0.00018325
35,175.768,1.12242,1.03771,1.38047,0.96282,1,0.995,0.54859,1.66114,0.86409,1.59276,0.0001585,0.0001585,0.0001585
36,179.12,1.18634,0.95939,1.41381,0.96614,1,0.995,0.5702,1.58412,0.87151,1.52681,0.00013375,0.00013375,0.00013375
37,182.431,1.07443,0.9319,1.3866,0.965,1,0.995,0.58764,1.54017,0.85207,1.48541,0.000109,0.000109,0.000109
38,185.803,1.151,0.93968,1.39035,0.96002,1,0.995,0.59663,1.48777,0.85937,1.46114,8.425e-05,8.425e-05,8.425e-05
39,189.1,1.02397,0.89114,1.38376,0.96002,1,0.995,0.59663,1.48777,0.85937,1.46114,5.95e-05,5.95e-05,5.95e-05
40,192.422,1.12229,0.88212,1.40649,0.9579,1,0.995,0.62554,1.46819,0.82863,1.44202,3.475e-05,3.475e-05,3.475e-05
