epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2334,0.54394,3.0113,1.0918,0.27867,0.47591,0.34973,0.30113,0.54001,2.81837,1.09902,0.000274744,0.000274744,0.000274744
2,28.5483,0.61269,2.33969,1.11261,0.42479,0.60587,0.52065,0.43327,0.61796,2.39796,1.19652,0.000541473,0.000541473,0.000541473
3,41.7189,0.61501,2.01982,1.09863,0.35355,0.61119,0.4273,0.32987,0.74916,2.41944,1.2678,0.000797206,0.000797206,0.000797206
4,54.8272,0.651,1.86239,1.11562,0.4538,0.59006,0.51103,0.42155,0.64393,2.44492,1.20084,0.00078352,0.00078352,0.00078352
5,67.9359,0.61441,1.74777,1.09409,0.55264,0.70186,0.65318,0.54181,0.6062,1.88072,1.14061,0.000767026,0.000767026,0.000767026
6,81.0778,0.59935,1.60073,1.08705,0.51911,0.68944,0.64342,0.5574,0.60987,1.72033,1.14504,0.000750533,0.000750533,0.000750533
7,94.3722,0.60605,1.56058,1.08026,0.59502,0.69393,0.68582,0.58775,0.57113,1.74783,1.11386,0.00073404,0.00073404,0.00073404
8,107.527,0.57511,1.48458,1.06517,0.632,0.70973,0.72347,0.62053,0.58465,1.59363,1.12631,0.000717546,0.000717546,0.000717546
9,120.676,0.55244,1.38713,1.05766,0.66709,0.72779,0.78251,0.67091,0.53338,1.43062,1.12738,0.000701053,0.000701053,0.000701053
10,134.008,0.54096,1.32909,1.04342,0.72839,0.68886,0.73661,0.63206,0.57749,1.52021,1.14896,0.000684559,0.000684559,0.000684559
11,147.272,0.53925,1.30599,1.05074,0.6195,0.8017,0.79111,0.70139,0.50767,1.36298,1.08309,0.000668066,0.000668066,0.000668066
12,160.533,0.52095,1.21981,1.03769,0.6761,0.77812,0.76863,0.67912,0.48969,1.23055,1.09517,0.000651573,0.000651573,0.000651573
13,173.743,0.50375,1.18846,1.02367,0.72073,0.74441,0.7792,0.69515,0.49886,1.21858,1.08745,0.000635079,0.000635079,0.000635079
14,187.029,0.49292,1.14669,1.02254,0.74952,0.78037,0.81672,0.73047,0.48012,1.12671,1.06216,0.000618586,0.000618586,0.000618586
15,200.218,0.50723,1.08912,1.03685,0.77485,0.78311,0.83745,0.74359,0.50461,1.07319,1.06746,0.000602092,0.000602092,0.000602092
16,213.663,0.48027,1.09697,1.01464,0.77172,0.76718,0.83978,0.71659,0.53534,1.122,1.11494,0.000585599,0.000585599,0.000585599
17,226.939,0.46242,1.05871,1.01092,0.74265,0.7195,0.77018,0.67715,0.51899,1.2094,1.08976,0.000569106,0.000569106,0.000569106
18,240.209,0.46418,1.04003,1.00087,0.74142,0.8284,0.86758,0.78039,0.45179,0.92881,1.04899,0.000552612,0.000552612,0.000552612
19,253.488,0.46276,0.99798,1.0082,0.75388,0.79417,0.86197,0.75579,0.46416,1.0339,1.05846,0.000536119,0.000536119,0.000536119
20,266.776,0.46045,0.97145,1.00959,0.73742,0.82858,0.84755,0.76877,0.43981,0.94373,1.04676,0.000519625,0.000519625,0.000519625
21,280.029,0.42455,0.92185,0.97799,0.77665,0.79452,0.85051,0.75518,0.48492,0.9204,1.08984,0.000503132,0.000503132,0.000503132
22,293.328,0.43442,0.90921,0.99542,0.77436,0.80324,0.85215,0.77134,0.43034,0.90753,1.04709,0.000486639,0.000486639,0.000486639
23,306.589,0.4284,0.89325,0.97965,0.81714,0.78248,0.86243,0.78826,0.41441,0.91055,1.03053,0.000470145,0.000470145,0.000470145
24,319.848,0.4194,0.86233,0.98131,0.83274,0.72258,0.83978,0.75407,0.43874,0.95795,1.03411,0.000453652,0.000453652,0.000453652
25,333.192,0.42225,0.85571,0.98491,0.84647,0.74053,0.84339,0.76321,0.46819,0.90461,1.06599,0.000437158,0.000437158,0.000437158
26,346.479,0.41119,0.85174,0.99211,0.77768,0.83905,0.86872,0.79858,0.43919,0.82943,1.06118,0.000420665,0.000420665,0.000420665
27,359.807,0.41654,0.83409,0.98331,0.75774,0.83915,0.8535,0.76682,0.41288,0.83036,1.02888,0.000404172,0.000404172,0.000404172
28,373.066,0.40585,0.81485,0.98185,0.82941,0.76857,0.87028,0.79765,0.41787,0.78605,1.02133,0.000387678,0.000387678,0.000387678
29,386.429,0.40108,0.78517,0.97825,0.82968,0.82368,0.88204,0.80833,0.38869,0.77231,1.00912,0.000371185,0.000371185,0.000371185
30,399.797,0.41259,0.8191,0.98204,0.82269,0.81015,0.85821,0.78367,0.42428,0.85283,1.01904,0.000354691,0.000354691,0.000354691
31,413.025,0.38964,0.78682,0.97143,0.84203,0.82819,0.88396,0.80406,0.42005,0.7353,1.04969,0.000338198,0.000338198,0.000338198
32,426.431,0.38191,0.74641,0.95565,0.82859,0.78512,0.86688,0.81139,0.4077,0.79751,1.03867,0.000321705,0.000321705,0.000321705
33,439.735,0.38236,0.75711,0.97508,0.85645,0.77415,0.86786,0.79836,0.41109,0.79779,1.04786,0.000305211,0.000305211,0.000305211
34,453.036,0.37262,0.72598,0.96104,0.84625,0.81781,0.89317,0.8179,0.41769,0.73856,1.03688,0.000288718,0.000288718,0.000288718
35,466.412,0.3757,0.7206,0.96687,0.84783,0.81757,0.88512,0.80885,0.39693,0.73118,1.00989,0.000272224,0.000272224,0.000272224
36,479.652,0.37064,0.69649,0.96557,0.8049,0.84428,0.88022,0.80621,0.40033,0.74458,1.00584,0.000255731,0.000255731,0.000255731
37,492.941,0.36934,0.6777,0.9592,0.83238,0.85012,0.88882,0.82768,0.37618,0.69377,0.98246,0.000239238,0.000239238,0.000239238
38,506.284,0.35769,0.65081,0.95801,0.84068,0.78731,0.88059,0.81666,0.37719,0.76086,1.025,0.000222744,0.000222744,0.000222744
39,519.615,0.35764,0.66336,0.95377,0.80038,0.86868,0.88688,0.82538,0.37606,0.68823,1.01681,0.000206251,0.000206251,0.000206251
40,532.916,0.34772,0.65363,0.95063,0.85576,0.85092,0.89622,0.8299,0.38717,0.70448,1.01526,0.000189757,0.000189757,0.000189757
