epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.9058,0.90848,2.9653,1.33634,0.50513,0.23057,0.39774,0.30711,0.73934,2.98143,1.19815,0.000326797,0.000326797,0.000326797
2,175.582,0.92459,2.16696,1.33026,0.35912,0.70767,0.51453,0.36646,0.89722,2.61484,1.43877,0.000643792,0.000643792,0.000643792
3,262.175,0.93371,1.90156,1.29979,0.46704,0.55873,0.4658,0.26211,1.52152,5.26973,2.06974,0.000944288,0.000944288,0.000944288
4,354.136,0.93492,1.76311,1.29858,0.62608,0.70142,0.70849,0.42279,1.11834,2.77949,1.57309,0.00092575,0.00092575,0.00092575
5,442.531,0.91762,1.66034,1.28885,0.60667,0.6169,0.50239,0.3558,0.96776,2.44183,1.41681,0.000901,0.000901,0.000901
6,532.619,0.88587,1.54446,1.25438,0.76316,0.6309,0.66162,0.47149,1.01984,2.26385,1.47638,0.00087625,0.00087625,0.00087625
7,577.336,0.86151,1.49263,1.25701,0.67165,0.79675,0.81367,0.57902,0.99123,1.53117,1.40292,0.0008515,0.0008515,0.0008515
8,597.623,0.86421,1.42018,1.2432,0.55256,0.77074,0.68909,0.4977,1.02214,1.71672,1.38315,0.00082675,0.00082675,0.00082675
9,612.81,0.84401,1.33501,1.22525,0.76208,0.78341,0.77811,0.57053,1.09002,1.53768,1.39626,0.000802,0.000802,0.000802
10,625.997,0.83851,1.3637,1.22957,0.6573,0.67967,0.72212,0.56802,0.8441,1.35475,1.32305,0.00077725,0.00077725,0.00077725
11,677.768,0.82521,1.2936,1.22569,0.7519,0.87457,0.8025,0.60222,0.9283,1.2519,1.38442,0.0007525,0.0007525,0.0007525
12,767.087,0.79088,1.20299,1.19323,0.84787,0.81484,0.89868,0.69597,0.82037,1.06144,1.2221,0.00072775,0.00072775,0.00072775
